"Supersonic Generation",dx,version,"PRiSM"
"False Amber (from the Black Bazaar, Or by A Kervan Trader from the Lands Afar, Or Buried Beneath the Shifting Sands That Lead Everywhere but Nowhere)",dx,version,"PRiSM PLUS"
